Circuit   Type 1    Type 2    Type 3    Blocks    Tiles     Area 
0         1076      235       7         2941      4017      2.00412e+08          Pass
1         664       535       17        2906      5350      2.6674e+08           Pass
2         93        0         0         1836      1929      9.59789e+07          Pass
3         53        54        0         2808      2861      1.42556e+08          Pass
4         553       805       26        7908      8461      4.22786e+08          Pass
5         31        288       0         3692      3723      1.85737e+08          Pass
6         76        160       0         1853      1929      9.59789e+07          Pass
7         578       455       15        3960      4550      2.27315e+08          Pass
8         902       320       0         5342      6244      3.1141e+08           Pass
9         1         32        0         1636      1637      8.13783e+07          Pass
10        416       230       5         1419      2300      1.14411e+08          Pass
11        233       73        0         1329      1562      7.789e+07            Pass
12        27        32        0         1632      1659      8.23964e+07          Pass
13        6         20        0         4491      4497      2.23897e+08          Pass
14        53        260       0         1808      2600      1.29408e+08          Pass
15        67        121       0         1956      2023      1.00469e+08          Pass
16        20        78        0         2181      2201      1.09733e+08          Pass
17        2         59        0         1165      1167      5.75142e+07          Pass
18        175       92        3         2062      2237      1.11373e+08          Pass
19        466       206       8         2237      2703      1.35087e+08          Pass
20        231       223       5         2679      2910      1.44877e+08          Pass
21        18        62        0         5100      5118      2.55723e+08          Pass
22        200       401       0         2320      4010      2.0015e+08           Pass
23        0         232       7         5230      5230      2.61081e+08          Pass
24        131       483       0         4325      4830      2.41369e+08          Pass
25        99        53        0         4517      4616      2.30369e+08          Pass
26        90        241       10        1323      3000      1.49971e+08          Pass
27        32        0         0         1496      1528      7.62288e+07          Pass
28        121       266       8         1993      2660      1.32237e+08          Pass
29        316       237       7         3025      3341      1.66892e+08          Pass
30        241       4         0         5419      5660      2.82209e+08          Pass
31        128       0         0         4347      4475      2.22879e+08          Pass
32        182       604       20        3480      6040      3.01829e+08          Pass
33        30        510       17        4006      5100      2.54951e+08          Pass
34        51        432       13        1705      4320      2.15618e+08          Pass
35        0         160       0         1360      1600      7.97012e+07          Pass
36        293       689       24        1587      7200      3.59931e+08          Pass
37        0         48        0         14969     14969     7.47457e+08          Pass
38        19        113       18        3190      5400      2.69948e+08          Pass
39        188       310       1         1807      3100      1.54687e+08          Pass
40        36        156       0         3060      3096      1.5444e+08           Pass
41        186       361       12        1955      3610      1.80437e+08          Pass
42        94        29        0         1337      1431      7.08717e+07          Pass
43        370       0         0         1212      1582      7.8833e+07           Pass
44        221       120       2         2114      2335      1.16013e+08          Pass
45        2         28        0         2782      2784      1.38897e+08          Pass
46        352       455       15        3380      4550      2.27315e+08          Pass
47        47        18        0         1439      1486      7.34169e+07          Pass
48        92        304       32        6877      9600      4.79908e+08          Pass
49        3040      986       32        11883     14923     7.45346e+08          Pass
50        186       458       0         11884     12070     6.03186e+08          Pass
51        10        425       0         4204      4250      2.12318e+08          Pass
52        991       0         0         9603      10594     5.29294e+08          Pass
53        1326      0         0         10817     12143     6.06599e+08          Pass
54        761       128       0         10903     11664     5.82301e+08          Pass
55        1539      16        0         10341     11880     5.93376e+08          Pass
56        165       288       0         4578      4743      2.36387e+08          Pass
57        851       0         0         7145      7996      3.9911e+08           Pass
58        1189      84        0         7700      8889      4.43742e+08          Pass
59        0         2323      77        11888     23230     1.16091e+09          Pass
60        10        552       0         20371     20381     1.01805e+09          Pass
61        0         2037      13        15079     20370     1.01754e+09          Pass
62        301       403       8         4888      5189      2.59061e+08          Pass
63        0         455       11        4846      4846      2.42065e+08          Pass
64        1118      1388      46        10451     13880     6.9364e+08           Pass
65        313       168       0         12721     13034     6.51157e+08          Pass
66        287       718       0         6310      7180      3.58137e+08          Pass
67        94        630       16        2461      6300      3.1494e+08           Pass
68        192       0         0         4850      5042      2.51346e+08          Pass

Geometric Average Area: 2.23859e+08

CPU Time  = 0.032139s

